trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region
100,11,5,3,cell,62%,32,21,8,8,51,13.15294644,21.09502311,A
100,11,5,4,cell,79%,33,10,9,11,78,24.18677324,10.44030651,A
100,11,5,5,cell,76%,36,12,13,9,92,22.8035085,13.41640786,A
100,12,4,1,cell,95%,24,15,10,10,79,19.92485885,16.15549442,A
100,12,4,2,cell,95%,29,30,8,9,57,4.123105626,30.01666204,A
100,12,4,3,cell,87%,32,22,8,8,51,12.16552506,22.09072203,A
100,12,4,4,cell,92%,35,14,9,7,50,20.61552813,14.86606875,A
100,13,4,1,cell,94%,24,14,10,9,71,20.88061302,15.23154621,A
100,13,4,2,cell,96%,29,32,8,8,51,2.236067977,32.01562119,A
100,13,4,3,cell,80%,31,22,7,7,39,12.04159458,22.02271555,A
100,13,4,4,cell,93%,36,13,10,7,55,21.84032967,14.31782106,A
100,14,5,1,cell,94%,23,14,11,9,78,21.1896201,15.65247584,A
100,14,5,2,cell,37%,27,24,4,6,19,10.44030651,24.18677324,A
100,14,5,3,cell,96%,29,32,8,9,57,2.236067977,32.01562119,A
100,14,5,4,cell,26%,32,20,9,7,50,14.14213562,20.09975124,A
100,14,5,5,cell,93%,35,12,10,8,63,22.56102835,13.0,A
100,15,5,1,cell,93%,23,13,11,9,78,22.13594362,14.76482306,A
100,15,5,2,cell,51%,28,23,6,5,24,11.18033989,23.08679276,A
100,15,5,3,cell,96%,30,33,8,8,51,1.0,33.0,A
100,15,5,4,cell,51%,32,19,7,7,39,15.13274595,19.10497317,A
100,15,5,5,cell,93%,35,11,11,9,78,23.53720459,12.08304597,A
100,16,4,1,cell,90%,23,13,10,10,79,22.13594362,14.76482306,A
100,16,4,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A
100,16,4,3,cell,82%,33,17,8,8,51,17.2626765,17.2626765,A
100,16,4,4,cell,92%,36,10,11,9,78,24.73863375,11.66190379,A
100,17,3,1,cell,97%,29,32,8,10,63,2.236067977,32.01562119,A
100,17,3,2,cell,29%,33,17,10,8,63,17.2626765,17.2626765,A
100,17,3,3,cell,39%,36,9,14,10,110,25.70992026,10.81665383,A
100,18,4,1,cell,64%,25,10,10,9,71,24.51530134,11.18033989,A
100,18,4,2,cell,85%,27,21,6,9,43,13.34166406,21.21320344,A
100,18,4,3,cell,97%,29,32,9,10,71,2.236067977,32.01562119,A
100,18,4,4,cell,77%,39,9,9,10,71,26.57066051,12.72792206,A
100,19,3,1,cell,68%,26,22,5,5,20,12.64911064,22.36067977,A
100,19,3,2,cell,95%,29,30,7,9,50,4.123105626,30.01666204,A
100,19,3,3,cell,95%,32,20,6,8,38,14.14213562,20.09975124,A
100,20,3,1,cell,89%,26,21,6,7,33,13.60147051,21.37755833,A
100,20,3,2,cell,91%,29,29,7,9,50,5.099019514,29.01723626,A
100,20,3,3,cell,94%,32,18,7,9,50,16.1245155,18.11077028,A
100,21,3,1,cell,72%,26,23,7,6,33,11.70469991,23.34523506,A
100,21,3,2,cell,95%,28,32,7,8,44,2.828427125,32.06243908,A
100,21,3,3,cell,96%,31,18,8,9,57,16.03121954,18.02775638,A
100,22,3,1,cell,94%,26,22,7,6,33,12.64911064,22.36067977,A
100,22,3,2,cell,95%,29,31,8,9,57,3.16227766,31.01612484,A
100,22,3,3,cell,94%,31,16,9,10,71,18.02775638,16.03121954,A
100,23,3,1,cell,94%,25,21,7,9,50,13.92838828,21.58703314,A
100,23,3,2,cell,97%,28,31,9,9,64,3.605551275,31.06444913,A
100,23,3,3,cell,95%,33,17,10,10,79,17.2626765,17.2626765,A
100,24,2,1,cell,96%,27,19,8,9,57,15.29705854,19.23538406,A
100,24,2,2,cell,97%,29,31,9,10,71,3.16227766,31.01612484,A
100,25,2,1,cell,96%,26,20,7,9,50,14.56021978,20.39607805,A
100,25,2,2,cell,96%,30,30,9,9,64,4.0,30.0,A
100,26,2,1,cell,96%,29,30,7,9,50,4.123105626,30.01666204,A
100,26,2,2,cell,95%,32,19,8,8,51,15.13274595,19.10497317,A
100,27,3,1,cell,87%,27,23,6,8,38,11.40175425,23.19482701,A
100,27,3,2,cell,95%,29,32,7,8,44,2.236067977,32.01562119,A
100,27,3,3,cell,95%,32,21,7,10,55,13.15294644,21.09502311,A
100,28,3,1,cell,89%,26,22,6,8,38,12.64911064,22.36067977,A
100,28,3,2,cell,88%,29,28,8,7,44,6.08276253,28.01785145,A
100,28,3,3,cell,92%,31,17,7,11,61,17.02938637,17.02938637,A
100,29,3,1,cell,92%,24,17,6,8,38,18.02775638,18.02775638,A
100,29,3,2,cell,96%,28,26,8,9,57,8.246211251,26.07680962,A
100,29,3,3,cell,93%,32,17,8,10,63,17.11724277,17.11724277,A
100,30,3,1,cell,93%,23,15,8,6,38,20.24845673,16.55294536,A
100,30,3,2,cell,87%,27,25,7,10,55,9.486832981,25.17935662,A
100,30,3,3,cell,94%,32,15,9,10,71,19.10497317,15.13274595,A
100,31,3,1,cell,97%,26,18,9,8,57,16.4924225,18.43908891,A
100,31,3,2,cell,96%,29,29,9,9,64,5.099019514,29.01723626,A
100,31,3,3,cell,46%,32,22,6,8,38,12.16552506,22.09072203,A
100,32,3,1,cell,96%,24,15,9,9,64,19.92485885,16.15549442,A
100,32,3,2,cell,96%,28,27,9,8,57,7.280109889,27.07397274,A
100,32,3,3,cell,92%,31,20,7,7,39,14.03566885,20.02498439,A
100,33,3,1,cell,94%,23,14,10,7,55,21.1896201,15.65247584,A
100,33,3,2,cell,96%,28,26,10,10,79,8.246211251,26.07680962,A
100,33,3,3,cell,83%,32,18,8,8,51,16.1245155,18.11077028,A
100,34,3,1,cell,96%,28,28,9,10,71,6.32455532,28.0713377,A
100,34,3,2,cell,95%,29,19,9,8,57,15.03329638,19.02629759,A
100,34,3,3,cell,93%,37,13,8,7,44,22.13594362,14.76482306,A
100,35,2,1,cell,94%,29,28,9,9,64,6.08276253,28.01785145,A
100,35,2,2,cell,94%,31,18,10,10,79,16.03121954,18.02775638,A
100,36,3,1,cell,91%,26,21,7,8,44,13.60147051,21.37755833,A
100,36,3,2,cell,85%,29,26,9,7,50,8.062257748,26.01922366,A
100,36,3,3,cell,93%,32,16,9,9,64,18.11077028,16.1245155,A
100,37,3,1,cell,95%,26,19,8,7,44,15.5241747,19.41648784,A
100,37,3,2,cell,92%,30,27,8,8,51,7.0,27.0,A
100,37,3,3,cell,94%,33,15,9,9,64,19.23538406,15.29705854,A
100,38,3,1,cell,89%,24,16,9,9,64,18.97366596,17.08800749,A
100,38,3,2,cell,91%,29,25,9,8,57,9.055385138,25.01999201,A
100,38,3,3,cell,94%,33,13,10,9,71,21.21320344,13.34166406,A
100,39,3,1,cell,95%,23,15,9,8,57,20.24845673,16.55294536,A
100,39,3,2,cell,93%,31,23,9,9,64,11.04536102,23.02172887,A
100,39,3,3,cell,93%,36,12,9,8,57,22.8035085,13.41640786,A
100,40,5,1,cell,36%,22,13,6,7,33,22.47220505,15.26433752,A
100,40,5,2,cell,88%,23,14,9,9,64,21.1896201,15.65247584,A
100,40,5,3,cell,78%,27,11,10,11,87,23.19482701,11.40175425,A
100,40,5,4,cell,92%,29,25,9,10,71,9.055385138,25.01999201,A
100,40,5,5,cell,90%,35,14,10,8,63,20.61552813,14.86606875,A
100,41,3,1,cell,93%,24,16,8,7,44,18.97366596,17.08800749,A
100,41,3,2,cell,96%,29,26,11,10,87,8.062257748,26.01922366,A
100,41,3,3,cell,93%,33,15,9,7,50,19.23538406,15.29705854,A
100,42,3,1,cell,96%,24,15,8,7,44,19.92485885,16.15549442,A
100,42,3,2,cell,94%,30,24,9,9,64,10.0,24.0,A
100,42,3,3,cell,96%,34,14,11,7,61,20.39607805,14.56021978,A
100,43,3,1,cell,95%,21,13,10,7,55,22.84731932,15.8113883,A
100,43,3,2,cell,95%,29,25,8,8,51,9.055385138,25.01999201,A
100,43,3,3,cell,95%,32,15,8,8,51,19.10497317,15.13274595,A
100,44,3,1,cell,92%,25,18,7,7,39,16.76305461,18.68154169,A
100,44,3,2,cell,94%,30,26,8,8,51,8.0,26.0,A
100,44,3,3,cell,94%,33,14,9,9,64,20.22374842,14.31782106,A
100,45,3,1,cell,90%,24,17,8,8,51,18.02775638,18.02775638,A
100,45,3,2,cell,94%,30,25,9,9,64,9.0,25.0,A
100,45,3,3,cell,94%,33,14,9,8,57,20.22374842,14.31782106,A
100,46,3,1,cell,93%,23,17,9,8,57,18.38477631,18.38477631,A
100,46,3,2,cell,88%,31,25,8,11,70,9.055385138,25.01999201,A
100,46,3,3,cell,95%,36,14,11,9,78,20.88061302,15.23154621,A
100,47,3,1,cell,95%,23,15,10,8,63,20.24845673,16.55294536,A
100,47,3,2,cell,94%,30,23,8,11,70,11.0,23.0,A
100,47,3,3,cell,94%,36,12,11,8,70,22.8035085,13.41640786,A
100,48,4,1,cell,89%,22,14,8,8,51,21.54065923,16.1245155,A
100,48,4,2,cell,92%,30,13,8,8,51,21.0,13.0,A
100,48,4,3,cell,90%,31,23,8,10,63,11.04536102,23.02172887,A
100,48,4,4,cell,95%,40,12,10,9,71,24.16609195,15.62049935,A
100,49,3,1,cell,95%,23,16,9,8,57,19.31320792,17.4642492,A
100,49,3,2,cell,95%,30,25,10,10,79,9.0,25.0,A
100,49,3,3,cell,95%,33,14,9,8,57,20.22374842,14.31782106,A
100,50,3,1,cell,95%,24,15,8,8,51,19.92485885,16.15549442,A
100,50,3,2,cell,95%,31,22,9,8,57,12.04159458,22.02271555,A
100,50,3,3,cell,95%,34,12,11,8,70,22.36067977,12.64911064,A
100,51,2,1,cell,97%,29,30,9,8,57,4.123105626,30.01666204,A
100,51,2,2,cell,96%,29,38,7,7,39,-4.123105626,38.01315562,B
100,52,2,1,cell,97%,30,30,10,8,63,4.0,30.0,A
100,52,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B
100,53,2,1,cell,97%,28,29,9,8,57,5.385164807,29.06888371,A
100,53,2,2,cell,96%,30,40,8,8,51,-6.0,40.0,B
100,54,2,1,cell,96%,30,29,10,8,63,5.0,29.0,A
100,54,2,2,cell,97%,31,40,8,8,51,-6.08276253,40.01249805,B
100,55,2,1,cell,95%,30,28,10,8,63,6.0,28.0,A
100,55,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B
100,56,1,1,cell,95%,30,29,10,10,79,5.0,29.0,A
100,57,2,1,cell,96%,27,20,9,9,64,14.31782106,20.22374842,A
100,57,2,2,cell,94%,29,29,9,9,64,5.099019514,29.01723626,A
100,58,3,1,cell,95%,26,21,8,8,51,13.60147051,21.37755833,A
100,58,3,2,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A
100,58,3,3,cell,96%,29,39,7,7,39,-5.099019514,39.01281841,B
100,59,3,1,cell,96%,27,20,10,10,79,14.31782106,20.22374842,A
100,59,3,2,cell,95%,30,32,10,8,63,2.0,32.0,A
100,59,3,3,cell,95%,30,41,8,7,44,-7.0,41.0,B
100,60,2,1,cell,97%,29,30,10,7,55,4.123105626,30.01666204,A
100,60,2,2,cell,96%,29,41,8,8,51,-7.071067812,41.01219331,B
100,61,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A
100,61,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B
100,62,2,1,cell,96%,28,30,11,8,70,4.472135955,30.06659276,A
100,62,2,2,cell,95%,28,41,9,9,64,-7.280109889,41.0487515,B
100,63,2,1,cell,96%,29,30,10,8,63,4.123105626,30.01666204,A
100,63,2,2,cell,95%,29,42,10,9,71,-8.062257748,42.01190308,B
100,64,1,1,cell,95%,27,30,9,8,57,5.0,30.14962686,A
100,65,2,1,cell,96%,28,30,9,8,57,4.472135955,30.06659276,A
100,65,2,2,cell,29%,31,38,4,5,16,-4.123105626,38.01315562,B
100,66,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A
100,66,2,2,cell,93%,30,40,6,6,29,-6.0,40.0,B
100,67,2,1,cell,96%,29,31,10,8,63,3.16227766,31.01612484,A
100,67,2,2,cell,95%,30,40,8,7,44,-6.0,40.0,B
100,68,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A
100,68,2,2,cell,96%,28,40,7,7,39,-6.32455532,40.04996879,B
100,69,2,1,cell,97%,30,30,10,8,63,4.0,30.0,A
100,69,2,2,cell,96%,30,41,9,8,57,-7.0,41.0,B
100,70,3,1,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A
100,70,3,2,cell,95%,28,41,9,8,57,-7.280109889,41.0487515,B
100,70,3,3,cell,95%,30,21,9,8,57,13.0,21.0,A
100,71,3,1,cell,96%,27,20,10,8,63,14.31782106,20.22374842,A
100,71,3,2,cell,95%,28,30,9,9,64,4.472135955,30.06659276,A
100,71,3,3,cell,96%,28,41,9,9,64,-7.280109889,41.0487515,B
100,72,2,1,cell,96%,26,19,9,8,57,15.5241747,19.41648784,A
100,72,2,2,cell,96%,28,29,9,8,57,5.385164807,29.06888371,A
100,73,4,1,cell,96%,25,18,9,9,64,16.76305461,18.68154169,A
100,73,4,2,cell,96%,29,30,9,8,57,4.123105626,30.01666204,A
100,73,4,3,cell,92%,30,39,6,6,29,-5.0,39.0,B
100,73,4,4,cell,62%,32,21,6,8,38,13.15294644,21.09502311,A
100,74,2,1,cell,97%,29,30,10,8,63,4.123105626,30.01666204,A
100,74,2,2,cell,94%,29,40,7,7,39,-6.08276253,40.01249805,B
100,75,2,1,cell,96%,29,30,10,7,55,4.123105626,30.01666204,A
100,75,2,2,cell,96%,30,41,8,8,51,-7.0,41.0,B
100,76,2,1,cell,96%,29,29,10,8,63,5.099019514,29.01723626,A
100,76,2,2,cell,96%,30,39,8,7,44,-5.0,39.0,B
100,77,2,1,cell,97%,29,30,11,8,70,4.123105626,30.01666204,A
100,77,2,2,cell,96%,29,41,8,9,57,-7.071067812,41.01219331,B
100,78,2,1,cell,96%,28,29,11,9,78,5.385164807,29.06888371,A
100,78,2,2,cell,96%,28,41,9,9,64,-7.280109889,41.0487515,B
100,79,2,1,cell,95%,28,29,11,9,78,5.385164807,29.06888371,A
100,79,2,2,cell,96%,28,41,9,10,71,-7.280109889,41.0487515,B
100,80,2,1,cell,95%,29,29,9,9,64,5.099019514,29.01723626,A
100,80,2,2,cell,80%,31,38,5,6,24,-4.123105626,38.01315562,B
100,81,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A
100,81,2,2,cell,93%,31,39,6,6,29,-5.099019514,39.01281841,B
100,82,2,1,cell,96%,29,29,9,9,64,5.099019514,29.01723626,A
100,82,2,2,cell,96%,31,39,8,7,44,-5.099019514,39.01281841,B
100,83,2,1,cell,97%,30,29,10,8,63,5.0,29.0,A
100,83,2,2,cell,96%,30,40,8,7,44,-6.0,40.0,B
100,84,2,1,cell,96%,29,29,10,8,63,5.099019514,29.01723626,A
100,84,2,2,cell,97%,30,40,9,8,57,-6.0,40.0,B
100,85,2,1,cell,96%,29,29,11,9,78,5.099019514,29.01723626,A
100,85,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B
100,86,2,1,cell,96%,28,28,11,9,78,6.32455532,28.0713377,A
100,86,2,2,cell,97%,28,41,9,9,64,-7.280109889,41.0487515,B
100,87,1,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A
100,88,2,1,cell,95%,28,29,9,9,64,5.385164807,29.06888371,A
100,88,2,2,cell,91%,30,39,5,6,24,-5.0,39.0,B
100,89,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A
100,89,2,2,cell,96%,29,39,7,7,39,-5.099019514,39.01281841,B
100,90,2,1,cell,96%,30,28,10,9,71,6.0,28.0,A
100,90,2,2,cell,97%,30,39,8,8,51,-5.0,39.0,B
100,91,2,1,cell,96%,29,30,9,9,64,4.123105626,30.01666204,A
100,91,2,2,cell,97%,30,41,8,8,51,-7.0,41.0,B
100,92,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A
100,92,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B
100,93,2,1,cell,95%,30,28,10,10,79,6.0,28.0,A
100,93,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B
100,94,1,1,cell,96%,30,29,9,10,71,5.0,29.0,A
100,95,1,1,cell,95%,28,28,9,9,64,6.32455532,28.0713377,A
100,96,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A
100,96,2,2,cell,93%,30,38,6,7,33,-4.0,38.0,B
100,97,2,1,cell,96%,29,28,9,8,57,6.08276253,28.01785145,A
100,97,2,2,cell,95%,30,38,7,7,39,-4.0,38.0,B
100,98,2,1,cell,95%,28,28,9,9,64,6.32455532,28.0713377,A
100,98,2,2,cell,96%,29,39,7,8,44,-5.099019514,39.01281841,B
100,99,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A
100,99,2,2,cell,96%,30,39,8,9,57,-5.0,39.0,B
100,100,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A
100,100,2,2,cell,96%,29,40,8,8,51,-6.08276253,40.01249805,B
100,101,2,1,cell,95%,29,28,10,10,79,6.08276253,28.01785145,A
100,101,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B
100,102,1,1,cell,96%,29,27,11,10,87,7.071067812,27.01851217,A
100,103,2,1,cell,96%,28,28,9,10,71,6.32455532,28.0713377,A
100,103,2,2,cell,94%,30,37,6,6,29,-3.0,37.0,B
100,104,2,1,cell,96%,30,28,10,10,79,6.0,28.0,A
100,104,2,2,cell,94%,31,38,7,7,39,-4.123105626,38.01315562,B
100,105,2,1,cell,96%,30,27,10,9,71,7.0,27.0,A
100,105,2,2,cell,96%,30,39,7,7,39,-5.0,39.0,B
100,106,2,1,cell,96%,28,27,9,10,71,7.280109889,27.07397274,A
100,106,2,2,cell,95%,29,38,7,7,39,-4.123105626,38.01315562,B
100,107,2,1,cell,96%,28,28,9,10,71,6.32455532,28.0713377,A
100,107,2,2,cell,96%,29,40,8,8,51,-6.08276253,40.01249805,B
100,108,2,1,cell,96%,30,27,10,10,79,7.0,27.0,A
100,108,2,2,cell,96%,30,40,8,9,57,-6.0,40.0,B
100,109,1,1,cell,97%,30,27,10,10,79,7.0,27.0,A
100,110,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A
100,110,2,2,cell,94%,31,38,6,7,33,-4.123105626,38.01315562,B
100,111,2,1,cell,96%,29,27,9,9,64,7.071067812,27.01851217,A
100,111,2,2,cell,94%,30,39,7,8,44,-5.0,39.0,B
100,112,2,1,cell,96%,28,26,9,9,64,8.246211251,26.07680962,A
100,112,2,2,cell,95%,29,38,7,8,44,-4.123105626,38.01315562,B
100,113,2,1,cell,96%,29,27,10,10,79,7.071067812,27.01851217,A
100,113,2,2,cell,95%,29,39,7,8,44,-5.099019514,39.01281841,B
100,114,2,1,cell,94%,28,26,9,10,71,8.246211251,26.07680962,A
100,114,2,2,cell,95%,29,40,8,9,57,-6.08276253,40.01249805,B
100,115,2,1,cell,96%,29,26,9,11,78,8.062257748,26.01922366,A
100,115,2,2,cell,96%,30,40,9,10,71,-6.0,40.0,B
100,116,2,1,cell,97%,29,27,10,11,87,7.071067812,27.01851217,A
100,116,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B
100,117,1,1,cell,95%,29,28,10,10,79,6.08276253,28.01785145,A
100,118,2,1,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A
100,118,2,2,cell,95%,30,39,6,7,33,-5.0,39.0,B
100,119,2,1,cell,96%,30,28,10,9,71,6.0,28.0,A
100,119,2,2,cell,97%,30,39,7,7,39,-5.0,39.0,B
100,120,2,1,cell,95%,29,28,10,10,79,6.08276253,28.01785145,A
100,120,2,2,cell,96%,30,40,8,8,51,-6.0,40.0,B
100,121,2,1,cell,96%,28,27,9,10,71,7.280109889,27.07397274,A
100,121,2,2,cell,96%,29,39,8,9,57,-5.099019514,39.01281841,B
100,122,2,1,cell,97%,29,41,10,10,79,-7.071067812,41.01219331,B
100,122,2,2,cell,96%,30,28,10,11,87,6.0,28.0,A
100,123,2,1,cell,95%,29,28,10,11,87,6.08276253,28.01785145,A
100,123,2,2,cell,96%,29,41,8,10,63,-7.071067812,41.01219331,B
100,124,1,1,cell,96%,30,28,9,11,78,6.0,28.0,A
100,125,2,1,cell,97%,29,29,10,9,71,5.099019514,29.01723626,A
100,125,2,2,cell,95%,30,39,6,6,29,-5.0,39.0,B
100,126,2,1,cell,97%,30,29,10,9,71,5.0,29.0,A
100,126,2,2,cell,96%,30,39,7,7,39,-5.0,39.0,B
100,127,2,1,cell,95%,28,29,11,9,78,5.385164807,29.06888371,A
100,127,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B
100,128,2,1,cell,96%,29,28,11,9,78,6.08276253,28.01785145,A
100,128,2,2,cell,95%,30,40,8,8,51,-6.0,40.0,B
100,129,2,1,cell,96%,30,27,10,10,79,7.0,27.0,A
100,129,2,2,cell,96%,30,39,9,8,57,-5.0,39.0,B
100,130,1,1,cell,96%,31,29,10,11,87,5.099019514,29.01723626,A
100,131,1,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A
100,132,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A
100,132,2,2,cell,94%,29,39,6,6,29,-5.099019514,39.01281841,B
100,133,2,1,cell,96%,29,28,10,9,71,6.08276253,28.01785145,A
100,133,2,2,cell,96%,30,40,8,8,51,-6.0,40.0,B
100,134,2,1,cell,95%,30,28,10,9,71,6.0,28.0,A
100,134,2,2,cell,95%,31,40,8,8,51,-6.08276253,40.01249805,B
100,135,2,1,cell,95%,30,28,10,10,79,6.0,28.0,A
100,135,2,2,cell,96%,31,40,8,8,51,-6.08276253,40.01249805,B
100,136,2,1,cell,96%,28,28,11,10,87,6.32455532,28.0713377,A
100,136,2,2,cell,95%,29,40,9,10,71,-6.08276253,40.01249805,B
100,137,2,1,cell,96%,29,28,10,11,87,6.08276253,28.01785145,A
100,137,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B
100,138,1,1,cell,95%,29,29,10,10,79,5.099019514,29.01723626,A
100,139,2,1,cell,96%,30,28,10,9,71,6.0,28.0,A
100,139,2,2,cell,59%,31,38,4,6,19,-4.123105626,38.01315562,B
100,140,2,1,cell,97%,29,29,9,9,64,5.099019514,29.01723626,A
100,140,2,2,cell,96%,30,40,7,8,44,-6.0,40.0,B
100,141,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A
100,141,2,2,cell,96%,30,39,8,8,51,-5.0,39.0,B
100,142,2,1,cell,97%,29,28,10,11,87,6.08276253,28.01785145,A
100,142,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B
100,143,2,1,cell,95%,28,28,11,11,96,6.32455532,28.0713377,A
100,143,2,2,cell,95%,29,41,9,10,71,-7.071067812,41.01219331,B
100,144,2,1,cell,95%,30,28,10,10,79,6.0,28.0,A
100,144,2,2,cell,96%,30,41,10,10,79,-7.0,41.0,B
100,145,1,1,cell,96%,28,29,10,10,79,5.385164807,29.06888371,A
100,146,2,1,cell,96%,29,28,11,10,87,6.08276253,28.01785145,A
100,146,2,2,cell,90%,30,37,5,5,20,-3.0,37.0,B
100,147,2,1,cell,96%,29,28,9,9,64,6.08276253,28.01785145,A
100,147,2,2,cell,93%,29,38,7,7,39,-4.123105626,38.01315562,B
100,148,2,1,cell,96%,30,27,10,9,71,7.0,27.0,A
100,148,2,2,cell,95%,30,39,7,8,44,-5.0,39.0,B
100,149,3,1,cell,85%,8,45,17,15,201,-24.59674775,50.08991915,B
100,149,3,2,cell,96%,32,25,10,9,71,9.219544457,25.07987241,A
100,149,3,3,cell,94%,32,37,8,9,57,-3.605551275,37.05401463,B
100,150,3,1,cell,85%,10,43,16,17,214,-21.9317122,47.42362281,B
100,150,3,2,cell,96%,32,24,10,11,87,10.19803903,24.08318916,A
100,150,3,3,cell,95%,32,37,8,9,57,-3.605551275,37.05401463,B
100,151,2,1,cell,96%,29,25,9,11,78,9.055385138,25.01999201,A
100,151,2,2,cell,96%,30,38,9,9,64,-4.0,38.0,B
100,152,1,1,cell,95%,28,27,9,11,78,7.280109889,27.07397274,A
100,153,1,1,cell,95%,29,27,10,10,79,7.071067812,27.01851217,A
100,154,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A
100,154,2,2,cell,88%,30,38,6,7,33,-4.0,38.0,B
100,155,2,1,cell,96%,29,27,10,10,79,7.071067812,27.01851217,A
100,155,2,2,cell,96%,30,39,8,8,51,-5.0,39.0,B
100,156,2,1,cell,96%,29,28,10,10,79,6.08276253,28.01785145,A
100,156,2,2,cell,96%,30,39,8,9,57,-5.0,39.0,B
100,157,2,1,cell,96%,28,28,11,10,87,6.32455532,28.0713377,A
100,157,2,2,cell,96%,28,40,9,9,64,-6.32455532,40.04996879,B
100,158,2,1,cell,96%,29,26,10,11,87,8.062257748,26.01922366,A
100,158,2,2,cell,96%,28,40,9,11,78,-6.32455532,40.04996879,B
100,159,1,1,cell,96%,29,27,9,11,78,7.071067812,27.01851217,A
100,160,1,1,cell,96%,28,27,9,11,78,7.280109889,27.07397274,A
100,161,2,1,cell,97%,29,27,9,11,78,7.071067812,27.01851217,A
100,161,2,2,cell,85%,30,38,7,8,44,-4.0,38.0,B
